stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
72	1corintios	2	13	1corintios-2-13-P01	1corintios-2-12-P02	λαλοῦμεν	λαλέω	V-PAI-1P	1	P	confirmed	finite_verb_morphology	same	person_number_match	1	P	εἰδῶμεν	candidate	not_detected
73	1corintios	2	14	1corintios-2-14-P01	1corintios-2-13-P01	δέχεται	δέχομαι	V-PMI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	1	P	λαλοῦμεν	candidate	not_detected
74	1corintios	2	14	1corintios-2-14-P02	1corintios-2-14-P01	ἐστίν	εἰμί	V-PAI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			δέχεται	candidate	not_detected
75	1corintios	2	14	1corintios-2-14-P03	1corintios-2-14-P02	δύναται	δύναμαι	V-PMI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἐστίν	candidate	not_detected
76	1corintios	2	14	1corintios-2-14-P04	1corintios-2-14-P03	ἀνακρίνεται	ἀνακρίνω	V-PPI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	δύναται	unresolved	candidate
77	1corintios	2	15	1corintios-2-15-P01	1corintios-2-14-P04	ἀνακρίνει	ἀνακρίνω	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἀνακρίνεται	candidate	not_detected
78	1corintios	2	15	1corintios-2-15-P02	1corintios-2-15-P01	ἀνακρίνεται	ἀνακρίνω	V-PPI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἀνακρίνει	candidate	not_detected
79	1corintios	2	16	1corintios-2-16-P01	1corintios-2-15-P02	ἔγνω	γινώσκω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἀνακρίνεται	candidate	not_detected
80	1corintios	2	16	1corintios-2-16-P02	1corintios-2-16-P01	συμβιβάσει	συμβιβάζω	V-FAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἔγνω	candidate	not_detected
81	1corintios	2	16	1corintios-2-16-P03	1corintios-2-16-P02	ἔχομεν	ἔχω	V-PAI-1P	1	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			συμβιβάσει	candidate	not_detected
82	1corintios	3	1	1corintios-3-1-P01	1corintios-2-16-P03	ἠδυνήθην	δύναμαι	V-API-1S	1	S	confirmed	finite_verb_morphology	shift	person_number_change	1	P	ἔχομεν	candidate	not_detected
83	1corintios	3	2	1corintios-3-2-P01	1corintios-3-1-P01	ἐπότισα	ποτίζω	V-AAI-1S	1	S	confirmed	finite_verb_morphology	same	person_number_match	1	S	ἠδυνήθην	candidate	not_detected
