book	chapter	continuity_source	continuity_status	finite_compact	finite_verb	independence_status	movement_reason_count	movement_reasons	movement_status	predication_id	previous_predication_id	stream_index	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subordination_status	verse	continuity_status_refined	continuity_refinement
1corintios	3	existing_continuity_status	shift	V-AAI-2P	ἐπιστεύσατε	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-3-5-P03	1corintios-3-5-P02	94	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	5	shift	none
1corintios	3	existing_continuity_status	shift	V-AAI-3S	ἔδωκεν	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-5-P04	1corintios-3-5-P03	95	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	5	shift	none
1corintios	3	existing_continuity_status	shift	V-AAI-1S	ἐφύτευσα	candidate	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-6-P01	1corintios-3-5-P04	96	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	6	shift	none
1corintios	3	existing_continuity_status	shift	V-AAI-3S	ἐπότισεν	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-3-6-P02	1corintios-3-6-P01	97	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	6	shift	none
1corintios	3	existing_continuity_status	same	V-IAI-3S	ηὔξανεν	candidate	0	[]	none	1corintios-3-6-P03	1corintios-3-6-P02	98	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	6	same	none
1corintios	3	existing_continuity_status	same	V-PAI-3S	ἐστίν	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-3-7-P01	1corintios-3-6-P03	99	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	7	same	none
1corintios	3	existing_continuity_status	shift	V-PAI-3P	εἰσιν	candidate	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-8-P01	1corintios-3-7-P01	100	P	3	finite_verb_morphology	explicit_or_morphological	not_detected	8	shift	none
1corintios	3	existing_continuity_status	shift	V-FMI-3S	λήμψεται	candidate	2	"[""number_change"", ""subject_shift""]"	candidate	1corintios-3-8-P02	1corintios-3-8-P01	101	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	8	shift	none
1corintios	3	existing_continuity_status	shift	V-PAI-1P	ἐσμεν	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-3-9-P01	1corintios-3-8-P02	102	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	9	shift	none
1corintios	3	existing_continuity_status	shift	V-PAI-2P	ἐστε	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-3-9-P02	1corintios-3-9-P01	103	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	9	shift	none
1corintios	3	existing_continuity_status	shift	V-AAI-1S	ἔθηκα	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-3-10-P01	1corintios-3-9-P02	104	S	1	finite_verb_morphology	explicit_or_morphological	candidate	10	shift	none
