book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	7:35	359	μεριμνᾷ	1corintios-7-32-P02	169	ἐπιβάλω	1corintios-7-35-P02	"{""stable"": 6, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 6}"	11	7:32	349	SR0169	14	['SR0170']	SMR0040
1corintios	7:36	366	νομίζει	1corintios-7-36-P01	171	γαμείτωσαν	1corintios-7-36-P07	"{""stable"": 4, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 4}"	7	7:36	360	SR0171	10	['SR0172']	SMR0041
1corintios	8:1	382	ἕστηκεν	1corintios-7-37-P01	173	ἔχομεν	1corintios-8-1-P02	"{""stable"": 7, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 6, ""none"": 7}"	16	7:37	367	SR0173	26	['SR0174', 'SR0175']	SMR0042
1corintios	8:4	390	φυσιοῖ	1corintios-8-1-P03	176	οἴδαμεν	1corintios-8-4-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 2, ""strong"": 1}"	8	8:1	383	SR0176	22	['SR0177']	SMR0043
1corintios	8:8	395	εἰσὶν	1corintios-8-5-P01	178	παραστήσει	1corintios-8-8-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	5	8:5	391	SR0178	12	['SR0179']	SMR0044
1corintios	8:9	400	φάγωμεν	1corintios-8-8-P02	180	βλέπετε	1corintios-8-9-P01	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""strong"": 1}"	5	8:8	396	SR0180	18	['SR0181']	SMR0045
1corintios	8:13	409	γένηται	1corintios-8-9-P02	182	σκανδαλίσω	1corintios-8-13-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	9	8:9	401	SR0182	32	['SR0183', 'SR0184', 'SR0185']	SMR0046
1corintios	9:3	417	εἰμὶ	1corintios-9-1-P01	186	ἐστιν	1corintios-9-3-P01	"{""stable"": 2, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2}"	8	9:1	410	SR0186	30	['SR0187', 'SR0188', 'SR0189', 'SR0190']	SMR0047
1corintios	9:6	420	ἔχομεν	1corintios-9-4-P01	191	ἔχομεν	1corintios-9-6-P01	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	9:4	418	SR0191	6		SMR0048
1corintios	9:9	429	στρατεύεται	1corintios-9-7-P01	192	κημώσεις	1corintios-9-9-P02	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	9	9:7	421	SR0192	18	['SR0193', 'SR0194', 'SR0195']	SMR0049
1corintios	9:12	436	μέλει	1corintios-9-9-P03	196	μετέχουσιν	1corintios-9-12-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	7	9:9	430	SR0196	16	['SR0197', 'SR0198']	SMR0050
