calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00057	1corintios	57	12:21	12:26	673	684	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 5, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	0.5385	25	18	16	10	-7	mixed_continuity	False	"[""CMW00056"", ""CMW00057"", ""CMW00058""]"
CMW00058	1corintios	58	12:26	13:2	685	696	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7}"	0.5385	27	20	18	11	-7	mixed_continuity	False	"[""CMW00057"", ""CMW00058"", ""CMW00059""]"
CMW00059	1corintios	59	13:2	13:5	697	708	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 11, ""transitioning"": 1}"	"{""ACLARA"": 1, ""CONDICIÓN"": 1, ""EXPONE"": 11, ""RESULTADO"": 1}"	0.7857	35	5	24	2	-30	extended_stable_field	False	"[""CMW00058"", ""CMW00059"", ""CMW00060""]"
CMW00060	1corintios	60	13:5	13:9	709	720	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 3, ""EXPONE"": 9}"	0.75	29	8	19	4	-21	extended_stable_field	False	"[""CMW00059"", ""CMW00060"", ""CMW00061""]"
CMW00061	1corintios	61	13:9	13:12	721	732	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""recovering"": 2, ""stable"": 8, ""transitioning"": 2}"	"{""ACLARA"": 7, ""EXPONE"": 8}"	0.5333	28	12	18	6	-16	mixed_continuity	False	"[""CMW00060"", ""CMW00061"", ""CMW00062""]"
CMW00062	1corintios	62	13:12	14:5	733	744	12	extended_stable_field	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 8, ""PROPÓSITO"": 1}"	0.6154	30	18	19	10	-12	mixed_continuity	False	"[""CMW00061"", ""CMW00062"", ""CMW00063""]"
CMW00063	1corintios	63	14:5	14:9	745	756	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""stable"": 6, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 6, ""CONDICIÓN"": 6, ""EXPONE"": 6, ""PROPÓSITO"": 2}"	0.3	24	30	21	18	6	mixed_continuity	False	"[""CMW00062"", ""CMW00063"", ""CMW00064""]"
CMW00064	1corintios	64	14:9	14:14	757	768	12	movement_accumulation	mixed_continuity	default_mixed	True	transitioning	ACLARA	"{""recovering"": 1, ""stable"": 4, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 4, ""PROPÓSITO"": 2}"	0.4706	20	36	15	21	16	mixed_continuity	False	"[""CMW00063"", ""CMW00064"", ""CMW00065""]"
CMW00065	1corintios	65	14:14	14:17	769	780	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""stable"": 5, ""transitioning"": 2, ""unstable"": 5}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5}"	0.5385	19	38	13	24	19	mixed_continuity	False	"[""CMW00064"", ""CMW00065"", ""CMW00066""]"
CMW00066	1corintios	66	14:18	14:22	781	792	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""PROPÓSITO"": 1, ""RAZÓN"": 1, ""RESULTADO"": 1}"	0.4667	19	31	12	18	12	mixed_continuity	False	"[""CMW00065"", ""CMW00066"", ""CMW00067""]"
