movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00051	1corintios	51	11:22	11:24	601	612	12	extended_stable_field	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 3, ""EXPONE"": 10, ""RAZÓN"": 1}"	34	8	22	4
MW00052	1corintios	52	11:24	11:28	613	624	12	extended_stable_field	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""RESULTADO"": 1}"	30	19	21	10
MW00053	1corintios	53	11:28	11:34	625	636	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 1, ""unstable"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""PROPÓSITO"": 1, ""RESULTADO"": 1}"	26	19	19	11
MW00054	1corintios	54	11:34	12:5	637	648	12	movement_accumulation	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 9, ""EXPONE"": 6, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	26	24	16	13
MW00055	1corintios	55	12:6	12:15	649	660	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 9, ""transitioning"": 2}"	"{""ACLARA"": 4, ""EXPONE"": 9}"	31	10	20	5
MW00056	1corintios	56	12:15	12:21	661	672	12	movement_accumulation	stable	ACLARA	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 7, ""RAZÓN"": 2}"	29	22	21	12
MW00057	1corintios	57	12:21	12:26	673	684	12	mixed_continuity	stable	EXPONE	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 5, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	25	18	16	10
MW00058	1corintios	58	12:26	13:2	685	696	12	mixed_continuity	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7}"	27	20	18	11
MW00059	1corintios	59	13:2	13:5	697	708	12	extended_stable_field	stable	EXPONE	"{""stable"": 11, ""transitioning"": 1}"	"{""ACLARA"": 1, ""CONDICIÓN"": 1, ""EXPONE"": 11, ""RESULTADO"": 1}"	35	5	24	2
MW00060	1corintios	60	13:5	13:9	709	720	12	extended_stable_field	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 3, ""EXPONE"": 9}"	29	8	19	4
MW00061	1corintios	61	13:9	13:12	721	732	12	extended_stable_field	stable	EXPONE	"{""recovering"": 2, ""stable"": 8, ""transitioning"": 2}"	"{""ACLARA"": 7, ""EXPONE"": 8}"	28	12	18	6
MW00062	1corintios	62	13:12	14:5	733	744	12	extended_stable_field	stable	EXPONE	"{""stable"": 8, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 8, ""PROPÓSITO"": 1}"	30	18	19	10
MW00063	1corintios	63	14:5	14:9	745	756	12	mixed_continuity	stable	ACLARA	"{""stable"": 6, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 6, ""CONDICIÓN"": 6, ""EXPONE"": 6, ""PROPÓSITO"": 2}"	24	30	21	18
MW00064	1corintios	64	14:9	14:14	757	768	12	movement_accumulation	transitioning	ACLARA	"{""recovering"": 1, ""stable"": 4, ""transitioning"": 4, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 4, ""PROPÓSITO"": 2}"	20	36	15	21
MW00065	1corintios	65	14:14	14:17	769	780	12	transition_cluster	stable	ACLARA	"{""stable"": 5, ""transitioning"": 2, ""unstable"": 5}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5}"	19	38	13	24
