BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	2	7	C2	προώρισεν	root-or-unresolved			0		unresolved-root	==προώρισεν== ὁ θεὸς πρὸ τῶν αἰώνων εἰς δόξαν ἡμῶν	no-confirmed-topology
1corintios	2	8	C1	ἔγνωκεν	root-parent			0		unresolved-root	ἣν οὐδεὶς τῶν ἀρχόντων τοῦ αἰῶνος τούτου ==ἔγνωκεν==	no-confirmed-topology
1corintios	2	8	C2	ἔγνωσαν	leaf	C1	subordinate	1	medium	suggested	εἰ γὰρ ==ἔγνωσαν== οὐκ ἂν τὸν κύριον τῆς δόξης	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	2	8	C3	ἐσταύρωσαν	root-or-unresolved			0		unresolved-root	==ἐσταύρωσαν==	no-confirmed-topology
1corintios	2	9	C1	γέγραπται	root-or-unresolved			0		unresolved-root	ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς οὐκ	no-confirmed-topology
1corintios	2	9	C2	εἶδεν	root-or-unresolved			0		unresolved-root	==εἶδεν== καὶ οὖς οὐκ	no-confirmed-topology
1corintios	2	9	C3	ἤκουσεν	root-or-unresolved			0		unresolved-root	==ἤκουσεν== καὶ ἐπὶ καρδίαν ἀνθρώπου οὐκ	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	2	9	C4	ἀνέβη	root-or-unresolved			0		unresolved-root	==ἀνέβη== ὅσα	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	2	9	C5	ἡτοίμασεν	root-or-unresolved			0		unresolved-root	==ἡτοίμασεν== ὁ θεὸς τοῖς ἀγαπῶσιν αὐτόν	no-confirmed-topology
1corintios	2	10	C1	ἀπεκάλυψεν	root-parent			0		unresolved-root	ἡμῖν γὰρ ==ἀπεκάλυψεν== ὁ θεὸς διὰ τοῦ πνεύματος τὸ γὰρ πνεῦμα πάντα	no-confirmed-topology
1corintios	2	10	C2	ἐραυνᾷ	leaf	C1	subordinate	1	medium	suggested	==ἐραυνᾷ== καὶ τὰ βάθη τοῦ θεοῦ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	11	C1	οἶδεν	root-parent			0		unresolved-root	τίς γὰρ ==οἶδεν== ἀνθρώπων τὰ τοῦ ἀνθρώπου	no-confirmed-topology
1corintios	2	11	C2	ἔγνωκεν	leaf	C1	subordinate	1	medium	suggested	εἰ μὴ τὸ πνεῦμα τοῦ ἀνθρώπου τὸ ἐν αὐτῷ οὕτως καὶ τὰ τοῦ θεοῦ οὐδεὶς ==ἔγνωκεν== εἰ μὴ τὸ πνεῦμα τοῦ θεοῦ	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available; parallel-coordinate-structure-detected
1corintios	2	12	C1	ἐλάβομεν	root-parent			0		unresolved-root	ἡμεῖς δὲ οὐ τὸ πνεῦμα τοῦ κόσμου ==ἐλάβομεν== ἀλλὰ τὸ πνεῦμα τὸ ἐκ τοῦ θεοῦ	no-confirmed-topology
1corintios	2	12	C2	εἰδῶμεν	leaf	C1	coordinate	1	medium	suggested	ἵνα ==εἰδῶμεν== τὰ ὑπὸ τοῦ θεοῦ χαρισθέντα ἡμῖν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	13	C1	λαλοῦμεν	root-or-unresolved			0		unresolved-root	ἃ καὶ ==λαλοῦμεν== οὐκ ἐν διδακτοῖς ἀνθρωπίνης σοφίας λόγοις ἀλλʼ ἐν διδακτοῖς πνεύματος πνευματικοῖς πνευματικὰ συγκρίνοντες	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	2	14	C1	δέχεται	root-parent			0		unresolved-root	ψυχικὸς δὲ ἄνθρωπος οὐ ==δέχεται== τὰ τοῦ πνεύματος τοῦ θεοῦ μωρία γὰρ αὐτῷ	no-confirmed-topology
1corintios	2	14	C2	ἐστίν	leaf	C1	subordinate	1	medium	suggested	==ἐστίν== καὶ οὐ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	14	C3	δύναται	root-parent			0		unresolved-root	==δύναται== γνῶναι	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	2	14	C4	ἀνακρίνεται	leaf	C3	subordinate	1	medium	suggested	ὅτι πνευματικῶς ==ἀνακρίνεται==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
