stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
115	1corintios	3	13	1corintios-3-13-P05	δοκιμάσει	V-FAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-13-P04	candidate	not_detected
116	1corintios	3	14	1corintios-3-14-P01	μενεῖ	V-FAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-13-P03	unresolved	candidate
117	1corintios	3	14	1corintios-3-14-P02	ἐποικοδόμησεν	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
118	1corintios	3	14	1corintios-3-14-P03	λήμψεται	V-FMI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
119	1corintios	3	15	1corintios-3-15-P01	κατακαήσεται	V-FPI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-14-P01	unresolved	candidate
120	1corintios	3	15	1corintios-3-15-P02	ζημιωθήσεται	V-FPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
121	1corintios	3	15	1corintios-3-15-P03	σωθήσεται	V-FPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
122	1corintios	3	16	1corintios-3-16-P01	οἴδατε	V-XAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
123	1corintios	3	16	1corintios-3-16-P02	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
124	1corintios	3	16	1corintios-3-16-P03	οἰκεῖ	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-16-P01	candidate	not_detected
125	1corintios	3	17	1corintios-3-17-P01	φθείρει	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-16-P02	unresolved	candidate
126	1corintios	3	17	1corintios-3-17-P02	φθερεῖ	V-FAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
127	1corintios	3	17	1corintios-3-17-P03	ἐστιν	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-17-P02	candidate	not_detected
128	1corintios	3	17	1corintios-3-17-P04	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
129	1corintios	3	18	1corintios-3-18-P01	ἐξαπατάτω	V-PAD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-17-P04	candidate	not_detected
130	1corintios	3	18	1corintios-3-18-P02	δοκεῖ	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
131	1corintios	3	18	1corintios-3-18-P03	γενέσθω	V-AMD-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-18-P01	candidate	not_detected
