BOOK	CH	VS	CLAUSE_ID	FINITE_G_IDX	FINITE_GREEK	FINITE_LEMMA	FINITE_RMAC	SPAN_START	SPAN_END	SPAN_GIDX	SPAN_TEXT	SPAN_STATUS	BOUNDARY_NOTES
1corintios	10	14	C1	04	φεύγετε	φεύγω	V-PAD-2P	01	07	01,02,03,04,05,06,07	διόπερ ἀγαπητοί μου ==φεύγετε== ἀπὸ τῆς εἰδωλολατρίας	suggested-span	neutral finite-anchor region
1corintios	10	15	C1	03	λέγω	λέγω	V-PAI-1S	01	03	01,02,03	ὡς φρονίμοις ==λέγω==	suggested-span	neutral finite-anchor region
1corintios	10	15	C2	04	κρίνατε	κρίνω	V-AAD-2P	04	06	04,05,06	==κρίνατε== ὑμεῖς ὅ	suggested-span	neutral finite-anchor region
1corintios	10	15	C3	07	φημι	φημί	V-PAI-1S	07	07	07	==φημι==	suggested-span	neutral finite-anchor region
1corintios	10	16	C1	06	εὐλογοῦμεν	εὐλογέω	V-PAI-1P	01	08	01,02,03,04,05,06,07,08	τὸ ποτήριον τῆς εὐλογίας ὃ ==εὐλογοῦμεν== οὐχὶ κοινωνία	suggested-span	neutral finite-anchor region
1corintios	10	16	C2	09	ἐστὶν	εἰμί	V-PAI-3S	09	16	09,10,11,12,13,14,15,16	==ἐστὶν== τοῦ αἵματος τοῦ χριστοῦ τὸν ἄρτον ὃν	suggested-span	neutral finite-anchor region
1corintios	10	16	C3	17	κλῶμεν	κλάω	V-PAI-1P	17	23	17,18,19,20,21,22,23	==κλῶμεν== οὐχὶ κοινωνία τοῦ σώματος τοῦ χριστοῦ	suggested-span	neutral finite-anchor region
1corintios	10	16	C4	24	ἐστιν	εἰμί	V-PAI-3S	24	24	24	==ἐστιν==	suggested-span	neutral finite-anchor region
1corintios	10	17	C1	08	ἐσμεν	εἰμί	V-PAI-1P	01	15	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15	ὅτι εἷς ἄρτος ἓν σῶμα οἱ πολλοί ==ἐσμεν== οἱ γὰρ πάντες ἐκ τοῦ ἑνὸς ἄρτου	suggested-span	neutral finite-anchor region
1corintios	10	17	C2	16	μετέχομεν	μετέχω	V-PAI-1P	16	16	16	==μετέχομεν==	suggested-span	neutral finite-anchor region
1corintios	10	18	C1	01	βλέπετε	βλέπω	V-PAD-2P	01	13	01,02,03,04,05,06,07,08,09,10,11,12,13	==βλέπετε== τὸν ἰσραὴλ κατὰ σάρκα οὐχ οἱ ἐσθίοντες τὰς θυσίας κοινωνοὶ τοῦ θυσιαστηρίου	suggested-span	neutral finite-anchor region
1corintios	10	18	C2	14	εἰσίν	εἰμί	V-PAI-3P	14	14	14	==εἰσίν==	suggested-span	neutral finite-anchor region
1corintios	10	19	C1	03	φημι	φημί	V-PAI-1S	01	06	01,02,03,04,05,06	τί οὖν ==φημι== ὅτι εἰδωλόθυτόν τί	suggested-span	neutral finite-anchor region
1corintios	10	19	C2	07	ἐστιν	εἰμί	V-PAI-3S	07	11	07,08,09,10,11	==ἐστιν== ἢ ὅτι εἴδωλόν τί	suggested-span	neutral finite-anchor region
1corintios	10	19	C3	12	ἐστιν	εἰμί	V-PAI-3S	12	12	12	==ἐστιν==	suggested-span	neutral finite-anchor region
1corintios	10	2	C1	06	ἐβαπτίσαντο	βαπτίζω	V-AMI-3P	01	13	01,02,03,04,05,06,07,08,09,10,11,12,13	καὶ πάντες εἰς τὸν μωϋσῆν ==ἐβαπτίσαντο== ἐν τῇ νεφέλῃ καὶ ἐν τῇ θαλάσσῃ	suggested-span	neutral finite-anchor region
1corintios	10	20	C1	04	θύουσιν	θύω	V-PAI-3P	01	08	01,02,03,04,05,06,07,08	ἀλλʼ ὅτι ἃ ==θύουσιν== δαιμονίοις καὶ οὐ θεῷ	suggested-span	neutral finite-anchor region
1corintios	10	20	C2	09	θύουσιν	θύω	V-PAI-3P	09	10	09,10	==θύουσιν== οὐ	suggested-span	neutral finite-anchor region
1corintios	10	20	C3	11	θέλω	θέλω	V-PAI-1S	11	17	11,12,13,14,15,16,17	==θέλω== δὲ ὑμᾶς κοινωνοὺς τῶν δαιμονίων γίνεσθαι	suggested-span	neutral finite-anchor region
1corintios	10	21	C1	02	δύνασθε	δύναμαι	V-PMI-2P	01	09	01,02,03,04,05,06,07,08,09	οὐ ==δύνασθε== ποτήριον κυρίου πίνειν καὶ ποτήριον δαιμονίων οὐ	suggested-span	neutral finite-anchor region
1corintios	10	21	C2	10	δύνασθε	δύναμαι	V-PMI-2P	10	16	10,11,12,13,14,15,16	==δύνασθε== τραπέζης κυρίου μετέχειν καὶ τραπέζης δαιμονίων	suggested-span	neutral finite-anchor region
1corintios	10	22	C1	02	παραζηλοῦμεν	παραζηλόω	V-PAI-1P	01	07	01,02,03,04,05,06,07	ἢ ==παραζηλοῦμεν== τὸν κύριον μὴ ἰσχυρότεροι αὐτοῦ	suggested-span	neutral finite-anchor region
1corintios	10	22	C2	08	ἐσμεν	εἰμί	V-PAI-1P	08	08	08	==ἐσμεν==	suggested-span	neutral finite-anchor region
1corintios	10	23	C1	02	ἔξεστιν	ἔξεστι(ν)	V-PAI-3S	01	05	01,02,03,04,05	πάντα ==ἔξεστιν== ἀλλʼ οὐ πάντα	suggested-span	neutral finite-anchor region
1corintios	10	23	C2	06	συμφέρει	συμφέρω	V-PAI-3S	06	07	06,07	==συμφέρει== ⸁πάντα	suggested-span	neutral finite-anchor region
1corintios	10	23	C3	08	ἔξεστιν	ἔξεστι(ν)	V-PAI-3S	08	11	08,09,10,11	==ἔξεστιν== ἀλλʼ οὐ πάντα	suggested-span	neutral finite-anchor region
1corintios	10	23	C4	12	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	12	12	12	==οἰκοδομεῖ==	suggested-span	neutral finite-anchor region
1corintios	10	24	C1	04	ζητείτω	ζητέω	V-PAD-3S	01	08	01,02,03,04,05,06,07,08	μηδεὶς τὸ ἑαυτοῦ ==ζητείτω== ἀλλὰ τὸ τοῦ ἑτέρου	suggested-span	neutral finite-anchor region
1corintios	10	25	C1	06	ἐσθίετε	ἐσθίω	V-PAD-2P	01	11	01,02,03,04,05,06,07,08,09,10,11	πᾶν τὸ ἐν μακέλλῳ πωλούμενον ==ἐσθίετε== μηδὲν ἀνακρίνοντες διὰ τὴν συνείδησιν	suggested-span	neutral finite-anchor region
1corintios	10	27	C1	03	καλεῖ	καλέω	V-PAI-3S	01	07	01,02,03,04,05,06,07	εἴ τις ==καλεῖ== ὑμᾶς τῶν ἀπίστων καὶ	suggested-span	neutral finite-anchor region
1corintios	10	27	C2	08	θέλετε	θέλω	V-PAI-2P	08	13	08,09,10,11,12,13	==θέλετε== πορεύεσθαι πᾶν τὸ παρατιθέμενον ὑμῖν	suggested-span	neutral finite-anchor region
1corintios	10	27	C3	14	ἐσθίετε	ἐσθίω	V-PAD-2P	14	19	14,15,16,17,18,19	==ἐσθίετε== μηδὲν ἀνακρίνοντες διὰ τὴν συνείδησιν	suggested-span	neutral finite-anchor region
1corintios	10	28	C1	05	εἴπῃ	λέγω	V-AAS-3S	01	07	01,02,03,04,05,06,07	ἐὰν δέ τις ὑμῖν ==εἴπῃ== τοῦτο ἱερόθυτόν	suggested-span	neutral finite-anchor region
1corintios	10	28	C2	08	ἐστιν	εἰμί	V-PAI-3S	08	09	08,09	==ἐστιν== μὴ	suggested-span	neutral finite-anchor region
1corintios	10	28	C3	10	ἐσθίετε	ἐσθίω	V-PAD-2P	10	17	10,11,12,13,14,15,16,17	==ἐσθίετε== διʼ ἐκεῖνον τὸν μηνύσαντα καὶ τὴν συνείδησιν	suggested-span	neutral finite-anchor region
1corintios	10	29	C1	03	λέγω	λέγω	V-PAI-1S	01	15	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15	συνείδησιν δὲ ==λέγω== οὐχὶ τὴν ἑαυτοῦ ἀλλὰ τὴν τοῦ ἑτέρου ἱνατί γὰρ ἡ ἐλευθερία μου	suggested-span	neutral finite-anchor region
1corintios	10	29	C2	16	κρίνεται	κρίνω	V-PPI-3S	16	19	16,17,18,19	==κρίνεται== ὑπὸ ἄλλης συνειδήσεως	suggested-span	neutral finite-anchor region
1corintios	10	3	C1	07	ἔφαγον	ἐσθίω	V-AAI-3P	01	07	01,02,03,04,05,06,07	καὶ πάντες τὸ αὐτὸ πνευματικὸν βρῶμα ==ἔφαγον==	suggested-span	neutral finite-anchor region
1corintios	10	30	C1	04	μετέχω	μετέχω	V-PAI-1S	01	05	01,02,03,04,05	εἰ ἐγὼ χάριτι ==μετέχω== τί	suggested-span	neutral finite-anchor region
1corintios	10	30	C2	06	βλασφημοῦμαι	βλασφημέω	V-PPI-1S	06	09	06,07,08,09	==βλασφημοῦμαι== ὑπὲρ οὗ ἐγὼ	suggested-span	neutral finite-anchor region
1corintios	10	30	C3	10	εὐχαριστῶ	εὐχαριστέω	V-PAI-1S	10	10	10	==εὐχαριστῶ==	suggested-span	neutral finite-anchor region
1corintios	10	31	C1	03	ἐσθίετε	ἐσθίω	V-PAI-2P	01	04	01,02,03,04	εἴτε οὖν ==ἐσθίετε== εἴτε	suggested-span	neutral finite-anchor region
1corintios	10	31	C2	05	πίνετε	πίνω	V-PAI-2P	05	07	05,06,07	==πίνετε== εἴτε τι	suggested-span	neutral finite-anchor region
1corintios	10	31	C3	08	ποιεῖτε	ποιέω	V-PAI-2P	08	12	08,09,10,11,12	==ποιεῖτε== πάντα εἰς δόξαν θεοῦ	suggested-span	neutral finite-anchor region
1corintios	10	31	C4	13	ποιεῖτε	ποιέω	V-PAD-2P	13	13	13	==ποιεῖτε==	suggested-span	neutral finite-anchor region
1corintios	10	32	C1	04	γίνεσθε	γίνομαι	V-PMD-2P	01	11	01,02,03,04,05,06,07,08,09,10,11	ἀπρόσκοποι καὶ ἰουδαίοις ==γίνεσθε== καὶ ἕλλησιν καὶ τῇ ἐκκλησίᾳ τοῦ θεοῦ	suggested-span	neutral finite-anchor region
1corintios	10	33	C1	05	ἀρέσκω	ἀρέσκω	V-PAI-1S	01	14	01,02,03,04,05,06,07,08,09,10,11,12,13,14	καθὼς κἀγὼ πάντα πᾶσιν ==ἀρέσκω== μὴ ζητῶν τὸ ἐμαυτοῦ σύμφορον ἀλλὰ τὸ τῶν πολλῶν	suggested-span	neutral finite-anchor region
1corintios	10	33	C2	16	σωθῶσιν	σῴζω	V-APS-3P	15	16	15,16	ἵνα ==σωθῶσιν==	suggested-span	migrated subordinate connector ἵνα
1corintios	10	4	C1	06	ἔπιον	πίνω	V-AAI-3P	01	07	01,02,03,04,05,06,07	καὶ πάντες τὸ αὐτὸ πνευματικὸν ==ἔπιον== πόμα	suggested-span	neutral finite-anchor region
1corintios	10	4	C2	08	ἔπινον	πίνω	V-IAI-3P	08	16	08,09,10,11,12,13,14,15,16	==ἔπινον== γὰρ ἐκ πνευματικῆς ἀκολουθούσης πέτρας ἡ πέτρα δὲ	suggested-span	neutral finite-anchor region
