decision	reason	greek_span	nbla_span	count	first_seen	last_seen	alignment_types
skip	count too low	ταῦτα	cosas	1	1corintios 12:11	1corintios 12:11	direct
skip	count too low	ταῦτα	estos	1	1corintios 13:13	1corintios 13:13	direct
skip	count too low	τε	tanto	1	1cor 1:24	1cor 1:24	direct
skip	count too low	τελείοις	madurez	1	1cor 2:6	1cor 2:6	direct
skip	count too low	τι	lo	1	1corintios 11:18	1corintios 11:18	direct
skip	count too low	τιμήν	honra a la	1	1corintios 12:24	1corintios 12:24	expanded
skip	count too low	τιμίους	preciosas	1	1cor 3:12	1cor 3:12	direct
skip	count too low	τιμόθεον	a timoteo	1	1cor 4:17	1cor 4:17	expanded
skip	count too low	τιμὴν	con más	1	1corintios 12:23	1corintios 12:23	expanded
skip	count too low	τιμῆς	por un precio	1	1cor 6:20	1cor 6:20	expanded
skip	count too low	τιμῆς	por precio	1	1corintios 7:23	1corintios 7:23	expanded
skip	count too low	τινα	a algún	1	1cor 1:16	1cor 1:16	expanded
skip	count too low	τινα	alguien	1	1cor 5:1	1cor 5:1	direct
skip	count too low	τινος	ninguna	1	1cor 6:12	1cor 6:12	expanded
skip	count too low	τινὲς	estando	1	1corintios 8:7	1corintios 8:7	direct
skip	count too low	τις	nadie	1	1cor 1:15	1cor 1:15	direct
skip	count too low	τις	uno	1	1cor 3:4	1cor 3:4	direct
skip	count too low	τις	cada uno	1	1cor 4:2	1cor 4:2	expanded
skip	count too low	τις	ninguno	1	1cor 5:11	1cor 5:11	direct
skip	count too low	τις;	alguien	1	1corintios 7:18	1corintios 7:18	direct
skip	count too low	τοιαύτη	una tal como	1	1cor 5:1	1cor 5:1	expanded
skip	count too low	τοιαύτην	tal	1	1corintios 11:16	1corintios 11:16	direct
skip	count too low	τοιούτοις	casos	1	1cor 7:15	1cor 7:15	direct
skip	count too low	τοιοῦτοι	vida	1	1corintios 7:28	1corintios 7:28	direct
skip	count too low	τολμᾷ	se atreve	1	1cor 6:1	1cor 6:1	expanded
skip	count too low	τοσαῦτα	hay	1	1corintios 14:10	1corintios 14:10	direct
skip	count too low	τούτοις	a estas	1	1corintios 12:23	1corintios 12:23	expanded
skip	count too low	τούτων	mayor de	1	1corintios 13:13	1corintios 13:13	expanded
skip	count too low	τούτῳ	aun	1	1corintios 14:21	1corintios 14:21	direct
skip	count too low	τούτῳ	eso	1	1cor 4:4	1cor 4:4	direct
skip	count too low	τούτῳ	fue	1	1corintios 7:24	1corintios 7:24	direct
skip	count too low	τοὺς	les	1	1corintios 11:22	1corintios 11:22	direct
skip	count too low	τοὺς	en	1	1corintios 14:35	1corintios 14:35	direct
skip	count too low	τοὺς	nosotros los	1	1cor 4:9	1cor 4:9	expanded
skip	count too low	τοὺς	a los de	1	1cor 5:12	1cor 5:12	expanded
skip	count too low	τοὺς	a	1	1corintios 9:22	1corintios 9:22	direct
skip	count too low	τοῖς	para	1	1cor 1:18	1cor 1:18	direct
skip	count too low	τοῖς	no	1	1corintios 14:22	1corintios 14:22	direct
skip	count too low	τοῖς	los incrédulos	1	1corintios 14:22	1corintios 14:22	expanded
skip	count too low	τοῖς	los que han alcanzado	1	1cor 2:6	1cor 2:6	expanded
skip	count too low	τοῖς	para los que	1	1cor 2:9	1cor 2:9	expanded
